ID,LzdMIC,LRgenotype,LREvsLSE
AUSMDU00017278,,gene,yes
AUSMDU00017468,8,gene,yes
AUSMDU00024392,8,gene,yes
AUSMDU00030315,4,gene,yes
AUSMDU00031475,2,no,no
AUSMDU00031968,1,no,no
AUSMDU00032081,2,no,no
AUSMDU00034780,2,no,no
AUSMDU00036636,2,no,no
AUSMDU00037590,8,gene,yes
AUSMDU00038057,2,no,no
AUSMDU00038680,2,no,no
AUSMDU00039121,1,no,no
AUSMDU00039757,2,no,no
AUSMDU00041162,8,gene,yes
AUSMDU00041163,8,gene,yes
AUSMDU00041464,2,no,no
AUSMDU00041684,8,gene,yes
AUSMDU00042414,1,no,no
AUSMDU00046361,1,no,no
AUSMDU00048109,2,no,no
AUSMDU00048160,2,no,no
AUSMDU00048443,2,no,no
AUSMDU00049041,2,no,no
AUSMDU00049166,8,gene,yes
AUSMDU00051999,<=0.5,no,no
AUSMDU00056526,2,no,no
AUSMDU00056627,2,no,no
AUSMDU00056787,2,no,no
AUSMDU00058899,>8,gene,yes
AUSMDU00059111,2,no,no
AUSMDU00061667,2,no,no
AUSMDU00062686,2,no,no
AUSMDU00063084,2,no,no
AUSMDU00063884,8,gene,yes
AUSMDU00064253,1,no,no
AUSMDU00065063,1,no,no
AUSMDU00065141,1,no,no
AUSMDU00067111,2,no,no
AUSMDU00067959,2,no,no
AUSMDU00068846,2,no,no
AUSMDU00069141,2,no,no
AUSMDU00070652,8,gene,yes
AUSMDU00072393,4,gene,yes
AUSMDU00075522,2,no,no
AUSMDU00075660,4,gene,yes
AUSMDU00076580,4,gene,yes
