ID,LzdMIC,LRgenotype,LREvsLSE
AUSMDU00004212,4,gene,yes
AUSMDU00007435,2,no,no
AUSMDU00007436,4,no,no
AUSMDU00007497,4,no,no
AUSMDU00007498,2,no,no
AUSMDU00007501,4,no,no
AUSMDU00007995,4,no,no
AUSMDU00007996,4,no,no
AUSMDU00007997,4,no,no
AUSMDU00008257,2,no,no
AUSMDU00008391,2,no,no
AUSMDU00008392,4,no,no
AUSMDU00008393,4,no,no
AUSMDU00008394,4,no,no
AUSMDU00008569,2,no,no
AUSMDU00008570,4,no,no
AUSMDU00010566,2,no,no
AUSMDU00010570,2,no,no
AUSMDU00010602,4,no,no
AUSMDU00010605,4,no,no
AUSMDU00010617,4,no,no
AUSMDU00010640,4,no,no
AUSMDU00010659,2,no,no
AUSMDU00010701,2,no,no
AUSMDU00010808,4,no,no
AUSMDU00010910,4,no,no
AUSMDU00011137,4,gene,yes
AUSMDU00011298,4,no,no
AUSMDU00011337,2,no,no
AUSMDU00011340,4,no,no
AUSMDU00011477,4,no,no
AUSMDU00011482,2,no,no
AUSMDU00011555,2,no,no
AUSMDU00011693,2,no,no
AUSMDU00011707,2,no,no
AUSMDU00011710,4,no,no
AUSMDU00011877,4,no,no
AUSMDU00011884,2,gene,yes
AUSMDU00012084,4,no,no
AUSMDU00012789,2,no,no
AUSMDU00014705,2,no,no
AUSMDU00014828,4,no,no
AUSMDU00015593,,gene,yes
AUSMDU00015839,,gene,yes
AUSMDU00017285,8,gene,yes
AUSMDU00017850,2,gene,yes
AUSMDU00022217,1,gene,yes
AUSMDU00022328,1,gene,yes
AUSMDU00031194,2,no,no
AUSMDU00031206,2,no,no
AUSMDU00031447,2,no,no
AUSMDU00031576,2,no,no
AUSMDU00031577,1,no,no
AUSMDU00031578,2,no,no
AUSMDU00031579,2,no,no
AUSMDU00031580,2,no,no
AUSMDU00031581,2,no,no
AUSMDU00031582,2,no,no
AUSMDU00032177,1,no,no
AUSMDU00032285,2,no,no
AUSMDU00032286,<=0.5,no,no
AUSMDU00032287,2,no,no
AUSMDU00032288,1,no,no
AUSMDU00032290,2,no,no
AUSMDU00032291,1,no,no
AUSMDU00032564,2,no,no
AUSMDU00032565,1,no,no
AUSMDU00032566,<=0.5,no,no
AUSMDU00032567,2,no,no
AUSMDU00032570,2,no,no
AUSMDU00032875,2,no,no
AUSMDU00032876,2,no,no
AUSMDU00032877,2,no,no
AUSMDU00032879,2,no,no
AUSMDU00032880,2,no,no
AUSMDU00034156,2,no,no
AUSMDU00034157,2,no,no
AUSMDU00034158,2,no,no
AUSMDU00034159,2,no,no
AUSMDU00034160,2,no,no
AUSMDU00034161,2,no,no
AUSMDU00034163,2,no,no
AUSMDU00034164,2,no,no
AUSMDU00034165,2,no,no
AUSMDU00034166,2,no,no
AUSMDU00034593,2,no,no
AUSMDU00034648,2,no,no
AUSMDU00034649,2,no,no
AUSMDU00034650,2,no,no
AUSMDU00034652,2,no,no
AUSMDU00035099,8,mutation,yes
AUSMDU00035225,1,no,no
AUSMDU00035445,2,no,no
AUSMDU00035447,2,no,no
AUSMDU00035448,2,no,no
AUSMDU00035449,2,no,no
AUSMDU00035450,2,no,no
AUSMDU00035452,2,no,no
AUSMDU00035453,1,no,no
AUSMDU00035547,2,no,no
AUSMDU00035736,2,no,no
AUSMDU00035737,2,no,no
AUSMDU00035739,2,no,no
AUSMDU00035740,2,no,no
AUSMDU00035741,2,no,no
AUSMDU00035742,2,no,no
AUSMDU00035743,2,no,no
AUSMDU00035744,2,no,no
AUSMDU00036225,2,no,no
AUSMDU00036228,2,no,no
AUSMDU00036230,1,no,no
AUSMDU00036232,1,no,no
AUSMDU00036234,2,no,no
AUSMDU00036237,2,no,no
AUSMDU00036241,2,no,no
AUSMDU00036243,2,no,no
AUSMDU00036244,2,no,no
AUSMDU00036245,2,no,no
AUSMDU00036246,2,no,no
AUSMDU00036540,4,mutation,yes
AUSMDU00036633,2,no,no
AUSMDU00036634,2,no,no
AUSMDU00036635,1,no,no
AUSMDU00036637,2,no,no
AUSMDU00036639,2,no,no
AUSMDU00036907,8,mutation,yes
AUSMDU00036910,2,no,no
AUSMDU00037022,2,no,no
AUSMDU00037023,2,no,no
AUSMDU00037026,2,no,no
AUSMDU00037028,2,no,no
AUSMDU00037173,2,no,no
AUSMDU00037341,2,no,no
AUSMDU00037342,2,no,no
AUSMDU00037345,2,no,no
AUSMDU00037346,2,no,no
AUSMDU00037348,1,no,no
AUSMDU00037546,2,no,no
AUSMDU00037843,2,no,no
AUSMDU00037844,2,no,no
AUSMDU00037846,1,no,no
AUSMDU00037847,2,no,no
AUSMDU00037848,1,no,no
AUSMDU00037850,2,no,no
AUSMDU00037851,2,no,no
AUSMDU00038007,2,no,no
AUSMDU00038206,2,no,no
AUSMDU00038388,1,no,no
AUSMDU00038389,2,no,no
AUSMDU00038432,2,no,no
AUSMDU00038506,1,no,no
AUSMDU00038588,2,no,no
AUSMDU00038589,1,no,no
AUSMDU00038590,2,no,no
AUSMDU00038592,2,no,no
AUSMDU00038594,2,no,no
AUSMDU00038595,2,no,no
AUSMDU00038638,2,no,no
AUSMDU00038993,2,no,no
AUSMDU00039090,1,no,no
AUSMDU00039093,2,no,no
AUSMDU00039096,2,no,no
AUSMDU00039265,1,gene,yes
AUSMDU00039412,1,no,no
AUSMDU00039413,2,no,no
AUSMDU00039414,2,no,no
AUSMDU00039416,2,no,no
AUSMDU00039418,2,no,no
AUSMDU00039558,2,no,no
AUSMDU00039617,1,no,no
AUSMDU00039618,2,no,no
AUSMDU00039858,2,no,no
AUSMDU00039860,2,no,no
AUSMDU00039908,2,no,no
AUSMDU00039909,2,no,no
AUSMDU00039910,1,no,no
AUSMDU00039911,2,no,no
AUSMDU00039913,2,no,no
AUSMDU00039921,1,no,no
AUSMDU00040234,1,no,no
AUSMDU00040235,2,no,no
AUSMDU00040260,2,no,no
AUSMDU00040261,2,no,no
AUSMDU00040355,8,mutation,yes
AUSMDU00040376,2,no,no
AUSMDU00040753,2,no,no
AUSMDU00040754,2,no,no
AUSMDU00040755,2,no,no
AUSMDU00040756,2,no,no
AUSMDU00040757,2,no,no
AUSMDU00040759,2,no,no
AUSMDU00040761,2,no,no
AUSMDU00040764,2,no,no
AUSMDU00040966,>8,mutation,yes
AUSMDU00041065,2,no,no
AUSMDU00041067,2,no,no
AUSMDU00041069,1,no,no
AUSMDU00041465,2,no,no
AUSMDU00041519,1,no,no
AUSMDU00041744,1,no,no
AUSMDU00041745,1,no,no
AUSMDU00041748,2,no,no
AUSMDU00041749,1,no,no
AUSMDU00041752,2,no,no
AUSMDU00042253,1,no,no
AUSMDU00042260,2,no,no
AUSMDU00044058,2,no,no
AUSMDU00044059,1,no,no
AUSMDU00044062,1,no,no
AUSMDU00044065,2,no,no
AUSMDU00044068,2,no,no
AUSMDU00044070,2,no,no
AUSMDU00044187,2,no,no
AUSMDU00044189,2,no,no
