ID,Year,LZD_MIC,LZD_susc
AUSMDU00022217,2018,1,susceptible
AUSMDU00022328,2018,1,susceptible
AUSMDU00031577,2019,1,susceptible
AUSMDU00032177,2019,1,susceptible
AUSMDU00032288,2019,1,susceptible
AUSMDU00032291,2019,1,susceptible
AUSMDU00032565,2019,1,susceptible
AUSMDU00035225,2019,1,susceptible
AUSMDU00035453,2019,1,susceptible
AUSMDU00036230,2019,1,susceptible
AUSMDU00036232,2019,1,susceptible
AUSMDU00036635,2019,1,susceptible
AUSMDU00037348,2019,1,susceptible
AUSMDU00037846,2019,1,susceptible
AUSMDU00037848,2019,1,susceptible
AUSMDU00038388,2019,1,susceptible
AUSMDU00038506,2019,1,susceptible
AUSMDU00038589,2019,1,susceptible
AUSMDU00039090,2019,1,susceptible
AUSMDU00039265,2019,1,susceptible
AUSMDU00039412,2019,1,susceptible
AUSMDU00039617,2019,1,susceptible
AUSMDU00039910,2019,1,susceptible
AUSMDU00039921,2019,1,susceptible
AUSMDU00040234,2019,1,susceptible
AUSMDU00041069,2020,1,susceptible
AUSMDU00041519,2020,1,susceptible
AUSMDU00041744,2020,1,susceptible
AUSMDU00041745,2020,1,susceptible
AUSMDU00041749,2020,1,susceptible
AUSMDU00042253,2020,1,susceptible
AUSMDU00044059,2020,1,susceptible
AUSMDU00044062,2020,1,susceptible
AUSMDU00044190,2020,1,susceptible
AUSMDU00044598,2020,1,susceptible
AUSMDU00044846,2020,1,susceptible
AUSMDU00044854,2020,1,susceptible
AUSMDU00044855,2020,1,susceptible
AUSMDU00044857,2020,1,susceptible
AUSMDU00045008,2020,1,susceptible
AUSMDU00045010,2020,1,susceptible
AUSMDU00045391,2020,1,susceptible
AUSMDU00045393,2020,1,susceptible
AUSMDU00045394,2020,1,susceptible
AUSMDU00046040,2020,1,susceptible
AUSMDU00046197,2020,1,susceptible
AUSMDU00047071,2020,1,susceptible
AUSMDU00047078,2020,1,susceptible
AUSMDU00047223,2020,1,susceptible
AUSMDU00047226,2020,1,susceptible
AUSMDU00047480,2020,1,susceptible
AUSMDU00048114,2020,1,susceptible
AUSMDU00048619,2020,1,susceptible
AUSMDU00049194,2020,1,susceptible
AUSMDU00052374,2020,1,susceptible
AUSMDU00053849,2020,1,susceptible
AUSMDU00054141,2020,1,susceptible
AUSMDU00054165,2020,1,susceptible
AUSMDU00054581,2020,1,susceptible
AUSMDU00054830,2020,1,susceptible
AUSMDU00055289,2020,1,susceptible
AUSMDU00056300,2021,1,susceptible
AUSMDU00056749,2021,1,susceptible
AUSMDU00059330,2021,1,susceptible
AUSMDU00060969,2021,1,susceptible
AUSMDU00061212,2021,1,susceptible
AUSMDU00066496,2021,1,susceptible
AUSMDU00007435,2017,2,susceptible
AUSMDU00007498,2017,2,susceptible
AUSMDU00008257,2017,2,susceptible
AUSMDU00008391,2017,2,susceptible
AUSMDU00008569,2017,2,susceptible
AUSMDU00010566,2017,2,susceptible
AUSMDU00010570,2017,2,susceptible
AUSMDU00010659,2017,2,susceptible
AUSMDU00010701,2017,2,susceptible
AUSMDU00011337,2017,2,susceptible
AUSMDU00011482,2017,2,susceptible
AUSMDU00011555,2017,2,susceptible
AUSMDU00011693,2017,2,susceptible
AUSMDU00011707,2017,2,susceptible
AUSMDU00011884,2017,2,susceptible
AUSMDU00012789,2018,2,susceptible
AUSMDU00014705,2018,2,susceptible
AUSMDU00017850,2017,2,susceptible
AUSMDU00031194,2019,2,susceptible
AUSMDU00031206,2019,2,susceptible
AUSMDU00031447,2019,2,susceptible
AUSMDU00031576,2019,2,susceptible
AUSMDU00031578,2019,2,susceptible
AUSMDU00031579,2019,2,susceptible
AUSMDU00031580,2019,2,susceptible
AUSMDU00031581,2019,2,susceptible
AUSMDU00031582,2019,2,susceptible
AUSMDU00032285,2019,2,susceptible
AUSMDU00032287,2019,2,susceptible
AUSMDU00032290,2019,2,susceptible
AUSMDU00032564,2019,2,susceptible
AUSMDU00032567,2019,2,susceptible
AUSMDU00032570,2019,2,susceptible
AUSMDU00032875,2019,2,susceptible
AUSMDU00032876,2019,2,susceptible
AUSMDU00032877,2019,2,susceptible
AUSMDU00032879,2019,2,susceptible
AUSMDU00032880,2019,2,susceptible
AUSMDU00034156,2019,2,susceptible
AUSMDU00034157,2019,2,susceptible
AUSMDU00034158,2019,2,susceptible
AUSMDU00034159,2019,2,susceptible
AUSMDU00034160,2019,2,susceptible
AUSMDU00034161,2019,2,susceptible
AUSMDU00034163,2019,2,susceptible
AUSMDU00034164,2019,2,susceptible
AUSMDU00034165,2019,2,susceptible
AUSMDU00034166,2019,2,susceptible
AUSMDU00034593,2019,2,susceptible
AUSMDU00034648,2019,2,susceptible
AUSMDU00034649,2019,2,susceptible
AUSMDU00034650,2019,2,susceptible
AUSMDU00034652,2019,2,susceptible
AUSMDU00035445,2019,2,susceptible
AUSMDU00035447,2019,2,susceptible
AUSMDU00035448,2019,2,susceptible
AUSMDU00035449,2019,2,susceptible
AUSMDU00035450,2019,2,susceptible
AUSMDU00035452,2019,2,susceptible
AUSMDU00035547,2019,2,susceptible
AUSMDU00035736,2019,2,susceptible
AUSMDU00035737,2019,2,susceptible
AUSMDU00035739,2019,2,susceptible
AUSMDU00035740,2019,2,susceptible
AUSMDU00035741,2019,2,susceptible
AUSMDU00035742,2019,2,susceptible
AUSMDU00035743,2019,2,susceptible
AUSMDU00035744,2019,2,susceptible
AUSMDU00036225,2019,2,susceptible
AUSMDU00036228,2019,2,susceptible
AUSMDU00036234,2019,2,susceptible
AUSMDU00036237,2019,2,susceptible
AUSMDU00036241,2019,2,susceptible
AUSMDU00036243,2019,2,susceptible
AUSMDU00036244,2019,2,susceptible
AUSMDU00036245,2019,2,susceptible
AUSMDU00036246,2019,2,susceptible
AUSMDU00036633,2019,2,susceptible
AUSMDU00036634,2019,2,susceptible
AUSMDU00036637,2019,2,susceptible
AUSMDU00036639,2019,2,susceptible
AUSMDU00036910,2019,2,susceptible
AUSMDU00037022,2019,2,susceptible
AUSMDU00037023,2019,2,susceptible
AUSMDU00037026,2019,2,susceptible
AUSMDU00037028,2019,2,susceptible
AUSMDU00037173,2019,2,susceptible
AUSMDU00037341,2019,2,susceptible
AUSMDU00037342,2019,2,susceptible
AUSMDU00037345,2019,2,susceptible
AUSMDU00037346,2019,2,susceptible
AUSMDU00037546,2019,2,susceptible
AUSMDU00037843,2019,2,susceptible
AUSMDU00037844,2019,2,susceptible
AUSMDU00037847,2019,2,susceptible
AUSMDU00037850,2019,2,susceptible
AUSMDU00037851,2019,2,susceptible
AUSMDU00038007,2019,2,susceptible
AUSMDU00038206,2019,2,susceptible
