ID,Year,LZD_MIC,LZD_susc
,2015,,
AUSMDU00017278,2016,,
AUSMDU00017468,2018,,
AUSMDU00031968,2019,1,susceptible
AUSMDU00039121,2019,1,susceptible
AUSMDU00031475,2019,2,susceptible
AUSMDU00032081,2019,2,susceptible
AUSMDU00034780,2019,2,susceptible
AUSMDU00036636,2019,2,susceptible
AUSMDU00038057,2019,2,susceptible
AUSMDU00038680,2019,2,susceptible
AUSMDU00039757,2019,2,susceptible
AUSMDU00030315,2019,4,intermediate
AUSMDU00037590,2019,8,resistant
AUSMDU00024392,2019,,
AUSMDU00042414,2020,1,susceptible
AUSMDU00046361,2020,1,susceptible
AUSMDU00041464,2020,2,susceptible
AUSMDU00048109,2020,2,susceptible
AUSMDU00048160,2020,2,susceptible
AUSMDU00048443,2020,2,susceptible
AUSMDU00049041,2020,2,susceptible
AUSMDU00041162,2020,8,resistant
AUSMDU00041163,2020,8,resistant
AUSMDU00041684,2020,8,resistant
AUSMDU00049166,2020,8,resistant
AUSMDU00051999,2020,<=0.5,susceptible
AUSMDU00064253,2021,1,susceptible
AUSMDU00065063,2021,1,susceptible
AUSMDU00065141,2021,1,susceptible
AUSMDU00056526,2021,2,susceptible
AUSMDU00056627,2021,2,susceptible
AUSMDU00056787,2021,2,susceptible
AUSMDU00059111,2021,2,susceptible
AUSMDU00061667,2021,2,susceptible
AUSMDU00062686,2021,2,susceptible
AUSMDU00063084,2021,2,susceptible
AUSMDU00067111,2021,2,susceptible
AUSMDU00063884,2021,8,resistant
AUSMDU00058899,2021,>8,resistant
AUSMDU00067959,2022,2,susceptible
AUSMDU00068846,2022,2,susceptible
AUSMDU00069141,2022,2,susceptible
AUSMDU00075522,2022,2,susceptible
AUSMDU00072393,2022,4,intermediate
AUSMDU00075660,2022,4,intermediate
AUSMDU00076580,2022,4,intermediate
AUSMDU00070652,2022,8,resistant
,2023,,
