ID,country
GCA_019350975.1,South Korea
GCA_025482015.1,France
GCA_025482495.1,France
GCA_025482715.1,France
GCA_025482725.1,France
GCA_026617455.1,USA
GCA_030340465.1,South Korea
GCA_030340525.1,South Korea
GCA_030340535.1,South Korea
GCA_906464875.1,United Kingdom
GCA_002973735.1,France
GCA_002973775.1,France
GCA_002973815.1,France
GCA_003962325.1,China
GCA_003962375.1,China
GCA_003962635.1,China
GCA_003962645.1,China
GCA_003962685.1,China
GCA_004103105.1,China
GCA_005979285.1,China
GCA_005979305.1,China
GCA_013312295.1,Canada
GCA_013523155.1,Colombia
GCA_014325425.1,Lebanon
GCA_014325545.1,Lebanon
GCA_015292605.1,Spain
GCA_015292765.1,Spain
GCA_015293145.1,Spain
GCA_015294225.1,Spain
GCA_016847365.1,Belgium
GCA_016847525.1,Belgium
GCA_016847585.1,Belgium
GCA_019731615.1,China
GCA_020405635.1,Russia
GCA_022427325.1,China
GCA_022427745.1,China
GCA_022427855.1,China
GCA_022758225.1,China
GCA_024339425.1,Spain
GCA_024339435.1,Spain
GCA_024339445.1,Spain
GCA_024927865.1,Bangladesh
GCA_025482075.1,France
GCA_025482095.1,France
GCA_025482175.1,France
GCA_025482215.1,France
GCA_025482255.1,France
GCA_025482405.1,France
GCA_025482435.1,France
GCA_025482455.1,France
GCA_025482555.1,France
GCA_025482575.1,France
GCA_025482595.1,France
GCA_025482635.1,France
GCA_025482655.1,France
GCA_025482675.1,France
GCA_025482695.1,France
GCA_025482785.1,France
GCA_025972265.1,Australia
GCA_029866805.1,China
GCA_030339965.1,South Korea
GCA_030339995.1,South Korea
GCA_030340065.1,South Korea
GCA_030340205.1,South Korea
GCA_030340245.1,South Korea
GCA_030340285.1,South Korea
GCA_030340305.1,South Korea
GCA_030340325.1,South Korea
GCA_030340345.1,South Korea
GCA_030340385.1,South Korea
GCA_030340445.1,South Korea
GCA_030340485.1,South Korea
GCA_030340565.1,South Korea
GCA_030340585.1,South Korea
GCA_030340605.1,South Korea
GCA_902161825.1,United Kingdom
GCA_906464835.1,United Kingdom
GCA_906464865.1,United Kingdom
GCA_906464915.2,United Kingdom
GCA_906464925.1,United Kingdom
GCA_018517125.1,France
GCA_025482195.1,France
GCA_025482285.1,France
GCA_000394335.1,USA
GCA_000394915.1,USA
GCA_001878735.4,Brazil
GCA_005158025.1,China
GCA_015234285.1,Switzerland
GCA_019352795.1,Portugal
GCA_019352805.1,Portugal
GCA_020180825.1,Italy
GCA_020180875.1,Italy
GCA_020180935.1,Italy
GCA_020616875.1,South Korea
GCA_020616935.1,South Korea
GCA_021122865.1,Belgium
GCA_021123115.1,Belgium
GCA_021124235.1,Belgium
GCA_021390315.1,China
GCA_023299225.1,
GCA_023299485.1,
GCA_023299505.1,
GCA_023299625.1,
GCA_023300165.1,
GCA_023375265.1,
GCA_023650735.1,China
GCA_023702145.1,China
GCA_024579755.1,China
GCA_024579795.1,China
GCA_026201915.1,China
GCA_026201965.1,China
GCA_026202015.1,China
GCA_026202035.1,China
GCA_026202075.1,China
GCA_026202155.1,China
GCA_026202175.1,China
GCA_026202275.1,China
GCA_026203115.1,China
GCA_026203165.1,China
GCA_026203185.1,China
GCA_028532705.1,China
GCA_028621735.1,China
GCA_028621755.1,China
GCA_028621775.1,China
GCA_001806515.1,Japan
GCA_002009465.1,Japan
GCA_002009545.1,Japan
GCA_002009565.1,Japan
GCA_002220885.1,Japan
GCA_002250145.1,Denmark
GCA_004168065.1,Portugal
GCA_004168075.1,Portugal
GCA_004168115.1,Portugal
GCA_004332015.1,Portugal
GCA_004332035.1,Portugal
GCA_006335085.1,Colombia
GCA_009498155.3,Colombia
GCA_009498175.3,Colombia
GCA_009830485.1,Malaysia
GCA_009830505.1,Malaysia
GCA_009830525.1,Malaysia
GCA_009830535.1,Malaysia
GCA_009830565.1,Colombia
GCA_009830585.1,Tunisia
GCA_009830615.1,Brazil
GCA_009830635.1,USA
GCA_009830655.1,USA
GCA_009830675.1,Tunisia
GCA_009830695.1,Tunisia
GCA_009830715.1,Tunisia
GCA_009830735.1,Tunisia
GCA_009830765.1,Brazil
GCA_009830775.1,China
GCA_009830815.1,China
GCA_009830835.1,China
GCA_009830855.1,China
GCA_009830875.1,China
GCA_009914685.3,China
GCA_011193375.1,China
GCA_014212115.1,Brazil
GCA_014212215.1,China
GCA_014212225.1,China
GCA_014854875.1,China
GCA_015292825.1,China
GCA_015293385.1,China
GCA_015293405.1,China
GCA_015293445.1,China
GCA_015294025.1,China
GCA_015300025.1,China
GCA_015300605.1,China
GCA_015315065.1,China
GCA_015315105.1,China
GCA_015315485.1,China
GCA_015690905.1,China
GCA_015919065.1,China
GCA_015920145.1,China
GCA_015958805.1,China
GCA_016636325.1,China
GCA_016917995.1,China
GCA_016993575.1,China
GCA_017286715.1,China
GCA_018087365.1,China
GCA_018222085.1,China
GCA_018253765.1,China
GCA_018253815.1,USA
GCA_018253835.1,USA
GCA_018253895.1,USA
GCA_019164975.1,China
GCA_019195415.1,China
GCA_019201565.1,China
GCA_019201575.1,China
GCA_019201635.1,China
GCA_019222705.1,China
GCA_019340345.1,China
GCA_019352735.1,USA
GCA_019352775.1,South Korea
GCA_019352835.1,South Korea
GCA_019352855.1,South Korea
GCA_019774535.1,China
GCA_019856595.1,China
GCA_019917325.1,China
GCA_019917335.1,China
GCA_019917365.1,Portugal
GCA_019917375.1,Portugal
GCA_019917405.1,Portugal
GCA_019917425.1,Portugal
GCA_019917435.1,Belgium
GCA_020616775.1,Belgium
GCA_020882115.1,Belgium
GCA_021121195.1,Belgium
GCA_021121215.1,Belgium
GCA_021121265.1,Belgium
GCA_021121415.1,Belgium
GCA_021121465.1,Belgium
