ID,cfr,cfrB,cfrD,optrA,poxtA,G2576T ,LZD-mic
AUSMDU00004212,No,No,Yes,No,No,No ,4
AUSMDU00007436,No,No,No,No,No,No ,4
AUSMDU00007497,No,No,No,No,No,No ,4
AUSMDU00007501,No,No,No,No,No,No ,4
AUSMDU00007995,No,No,No,No,No,No ,4
AUSMDU00007996,No,No,No,No,No,No ,4
AUSMDU00007997,No,No,No,No,No,No ,4
AUSMDU00008392,No,No,No,No,No,No ,4
AUSMDU00008393,No,No,No,No,No,No ,4
AUSMDU00008394,No,No,No,No,No,No ,4
AUSMDU00008570,No,No,No,No,No,No ,4
AUSMDU00010602,No,No,No,No,No,No ,4
AUSMDU00010605,No,No,No,No,No,No ,4
AUSMDU00010617,No,No,No,No,No,No ,4
AUSMDU00010640,No,No,No,No,No,No ,4
AUSMDU00010808,No,No,No,No,No,No ,4
AUSMDU00010910,No,No,No,No,No,No ,4
AUSMDU00011298,No,No,No,No,No,No ,4
AUSMDU00011337,No,Yes,No,No,No,No ,2
AUSMDU00011340,No,No,No,No,No,No ,4
AUSMDU00011477,No,No,No,No,No,No ,4
AUSMDU00011710,No,No,No,No,No,No ,4
AUSMDU00011877,No,No,No,No,No,No ,4
AUSMDU00011884,No,Yes,No,No,No,No ,2
AUSMDU00012084,No,No,No,No,No,No ,4
AUSMDU00014828,No,No,No,No,No,No ,4
AUSMDU00015593,No,Yes,No,No,No,No ,
AUSMDU00015839,No,Yes,No,No,No,No ,
AUSMDU00017285,No,No,No,Yes,Yes,No ,8
AUSMDU00017850,No,Yes,No,No,No,No ,2
AUSMDU00022217,No,Yes,No,No,No,No ,1
AUSMDU00022328,No,Yes,No,No,No,No ,1
AUSMDU00035099,No,No,No,No,No,Yes,8
AUSMDU00036540,No,No,No,No,No,Yes,4
AUSMDU00036907,No,No,No,No,No,Yes,8
AUSMDU00037173,No,No,No,No,No,No ,2
AUSMDU00039265,No,Yes,No,No,No,No ,1
AUSMDU00040355,No,No,No,No,No,Yes,8
AUSMDU00040966,No,No,No,No,No,Yes,>8
AUSMDU00046081,No,Yes,No,No,No,No ,4
AUSMDU00056207,No,No,No,Yes,No,No ,>8
AUSMDU00060088,No,No,No,No,No,Yes,4
AUSMDU00067942,No,No,Yes,No,Yes,No ,8
AUSMDU00068490,No,No,Yes,No,Yes,No ,8
AUSMDU00068868,No,No,No,No,No,Yes,8
AUSMDU00069550,No,No,No,No,No,Yes,>8
AUSMDU00072253,Yes,No,No,Yes,No,No ,4
AUSMDU00072302,Yes,No,No,Yes,No,No ,8
AUSMDU00073264,No,No,No,No,No,No ,4
AUSMDU00074711,No,No,Yes,No,Yes,No ,4
