Accession,country
GCA_017101495.1,Australia
GCA_017664195.1,Australia
GCA_025973165.1,Australia
GCA_025983725.1,Australia
GCA_027790995.1,Australia
GCA_015409415.1,Australia
SRR10276527,Australia
SRR19441643,Australia
SRR19441646,Australia
SRR19441695,Australia
SRR19441759,Australia
SRR19441797,Australia
SRR19441844,Australia
SRR19441872,Australia
SRR19441906,Australia
SRR19441990,Australia
SRR19442324,Australia
SRR19442658,Australia
SRR19442795,Australia
SRR6195412,Australia
SRR10040956,Australia
GCA_026942205.1,Belgium
GCA_021121175.1,Belgium
GCA_021121205.1,Belgium
GCA_021121275.1,Belgium
GCA_021121325.1,Belgium
GCA_021121395.1,Belgium
GCA_021121485.1,Belgium
GCA_021121665.1,Belgium
GCA_021122055.1,Belgium
GCA_021122155.1,Belgium
GCA_021122225.1,Belgium
GCA_021122265.1,Belgium
GCA_021122345.1,Belgium
GCA_021122385.1,Belgium
GCA_021122425.1,Belgium
GCA_021122445.1,Belgium
GCA_021122465.1,Belgium
GCA_021122505.1,Belgium
GCA_021122645.1,Belgium
GCA_021122785.1,Belgium
GCA_021122825.1,Belgium
GCA_021122985.1,Belgium
GCA_021123005.1,Belgium
GCA_021123075.1,Belgium
GCA_021123205.1,Belgium
GCA_021123405.1,Belgium
GCA_021123525.1,Belgium
GCA_021123545.1,Belgium
GCA_021123585.1,Belgium
GCA_021123645.1,Belgium
GCA_021123825.1,Belgium
GCA_021124145.1,Belgium
GCA_021124165.1,Belgium
GCA_021124315.1,Belgium
GCA_021124445.1,Belgium
GCA_021121615.1,Belgium
GCA_021121685.1,Belgium
GCA_021121745.1,Belgium
GCA_021121825.1,Belgium
GCA_021121925.1,Belgium
GCA_021121945.1,Belgium
GCA_021122295.1,Belgium
GCA_021122585.1,Belgium
GCA_021122605.1,Belgium
GCA_021122705.1,Belgium
GCA_021122765.1,Belgium
GCA_021122805.1,Belgium
GCA_021123285.1,Belgium
GCA_021123345.1,Belgium
GCA_021123505.1,Belgium
GCA_021123605.1,Belgium
GCA_021123875.1,Belgium
GCA_021124205.1,Belgium
GCA_021124265.1,Belgium
SRR13080468,Belgium
SRR21102102,Belgium
SRR21102107,Belgium
SRR21102110,Belgium
SRR21102113,Belgium
SRR21102114,Belgium
SRR21102115,Belgium
SRR21102123,Belgium
SRR21102125,Belgium
SRR21102130,Belgium
SRR21102131,Belgium
GCA_020163015.1,Brazil
GCA_013326905.1,Canada
GCA_013326855.1,Canada
SRR14024963,Canada
SRR14024972,Canada
SRR14024974,Canada
SRR14024975,Canada
SRR14024978,Canada
SRR14024984,Canada
SRR14024990,Canada
SRR14026459,Canada
SRR14026497,Canada
SRR14026508,Canada
SRR14026532,Canada
SRR14024983,Canada
SRR14025000,Canada
GCA_004103165.1,China
GCA_019356355.1,China
GCA_019731315.1,China
GCA_025629065.1,China
GCA_022426705.1,China
GCA_016743855.1,China
GCA_019992745.1,China
GCA_019992785.1,China
GCA_019992805.1,China
GCA_019992835.1,China
GCA_021560195.1,China
GCA_023182815.2,China
GCA_023182835.2,China
GCA_025641905.1,China
GCA_025753015.1,China
GCA_025753055.1,China
GCA_025753095.1,China
GCA_025753115.1,China
GCA_025753135.1,China
GCA_025753145.1,China
GCA_025753175.1,China
GCA_025753195.1,China
GCA_025753215.1,China
GCA_025753255.1,China
GCA_025753275.1,China
GCA_025753285.1,China
GCA_025753315.1,China
GCA_025753335.1,China
GCA_025753345.1,China
GCA_025753385.1,China
GCA_025753435.1,China
GCA_025753485.1,China
GCA_025753515.1,China
GCA_025753575.1,China
GCA_025753655.1,China
GCA_025753745.1,China
GCA_025800545.1,China
GCA_025800625.1,China
GCA_025847735.1,China
GCA_025913595.1,China
GCA_025913615.1,China
GCA_025913635.1,China
GCA_025913655.1,China
GCA_025913675.1,China
GCA_025916235.1,China
GCA_026202095.1,China
GCA_026202215.1,China
GCA_026202455.1,China
GCA_026203075.1,China
GCA_026203095.1,China
GCA_026203285.1,China
GCA_026203655.1,China
GCA_026203695.1,China
GCA_026203855.1,China
GCA_026203875.1,China
GCA_026204115.1,China
GCA_026204135.1,China
GCA_026204185.1,China
GCA_027944535.1,China
GCA_028891525.1,China
GCA_029814255.1,China
GCA_030064735.1,China
GCA_030179055.1,China
GCA_030179115.1,China
GCA_030179135.1,China
GCA_030179175.1,China
GCA_030179235.1,China
GCA_030179275.1,China
GCA_030179285.1,China
GCA_030179335.1,China
GCA_030179375.1,China
GCA_030179465.1,China
GCA_030179505.1,China
GCA_007923785.2,China
GCA_007923865.2,China
GCA_007923885.2,China
GCA_007923905.2,China
GCA_007923925.2,China
GCA_007923945.2,China
GCA_007923965.2,China
GCA_012222705.1,China
GCA_014218175.1,China
GCA_018279145.1,China
GCA_019992685.1,China
GCA_019992705.1,China
GCA_019992725.1,China
GCA_019992765.1,China
GCA_019992825.1,China
GCA_019992865.1,China
GCA_025753075.1,China
GCA_025753375.1,China
GCA_025847705.1,China
GCA_030179355.1,China
GCA_030179575.1,China
SRR13009678,Czech Republic
SRR22543276,Czech Republic
GCA_028768695.1,Denmark
GCA_015457725.1,Denmark
GCA_028784175.1,Denmark
GCA_015642685.1,Denmark
SRR13984233,Denmark
SRR13984403,Denmark
SRR14889759,Denmark
SRR16608738,Denmark
GCA_002973755.2,France
GCA_025477735.1,France
GCA_025477945.1,France
GCA_025478095.1,France
GCA_025479745.1,France
GCA_002973675.1,France
GCA_002973715.1,France
GCA_018517065.1,France
GCA_018517085.1,France
GCA_025476665.1,France
GCA_025476955.1,France
GCA_025477335.1,France
GCA_025477835.1,France
GCA_025481845.1,France
GCA_018516845.1,France
GCA_018516925.1,France
