ID,MDU,ST,BAPS_level1,BAPS_level2,country,continent,year,sample_type,lzd_genotype,van_operon,cfr,cfrB,cfrD,optrA,poxtA
AUSMDU00017278,Yes,256,1,1,Australia,Oceania,2016,clinical,optrA,,,,,yes,
AUSMDU00017468,Yes,1476,2,6,Australia,Oceania,2018,clinical,optrA,,,,,yes,
AUSMDU00024392,Yes,16,2,7,Australia,Oceania,2019,clinical,optrA,,,,,yes,
AUSMDU00030315,Yes,1477,2,7,Australia,Oceania,2019,clinical,optrA,,,,,yes,
AUSMDU00037590,Yes,895,3,14,Australia,Oceania,2019,clinical,optrA,,,,,yes,
AUSMDU00041162,Yes,480,3,14,Australia,Oceania,2020,clinical,optrA,,,,,yes,
AUSMDU00041163,Yes,179,2,7,Australia,Oceania,2020,clinical,optrA,,,,,yes,
AUSMDU00041684,Yes,895,3,14,Australia,Oceania,2020,clinical,optrA,,,,,yes,
AUSMDU00049166,Yes,179,2,7,Australia,Oceania,2020,clinical,optrA,,,,,yes,
AUSMDU00058899,Yes,16,2,7,Australia,Oceania,2021,clinical,optrA,,,,,yes,
AUSMDU00070652,Yes,631,4,20,Australia,Oceania,2022,clinical,optrA,,,,,yes,
AUSMDU00072393,Yes,480,3,14,Australia,Oceania,2022,clinical,optrA,,,,,yes,
AUSMDU00075660,Yes,506,5,24,Australia,Oceania,2022,clinical,optrA,,,,,yes,
GCA_019350975.1,No,86,1,2,South Korea,Asia,2017,human,"cfr(D), optrA, poxtA2",,,,yes,yes,yes
GCA_025482015.1,No,480,1,2,France,Europe,2020,clinical,"cfr, optrA, poxtA",,yes,,,yes,yes
GCA_025482495.1,No,116,6,26,France,Europe,2019,clinical,"cfr(D), optrA",,,,yes,yes,
GCA_025482715.1,No,,1,3,France,Europe,2018,clinical,"cfr(D), optrA",,,,yes,yes,
GCA_025482725.1,No,314,1,3,France,Europe,2018,clinical,"cfr, optrA",,yes,,,yes,
GCA_026617455.1,No,6,2,8,USA,North America,2017,clinical,cfr(B),,,yes,,,
GCA_030340465.1,No,16,1,4,South Korea,Asia,2020,clinical,"cfr(D), poxtA2",,,,yes,,yes
GCA_030340525.1,No,21,1,4,South Korea,Asia,2020,clinical,"cfr(D), poxtA2",,,,yes,,yes
GCA_030340535.1,No,16,7,31,South Korea,Asia,2020,clinical,"cfr(D), poxtA2",,,,yes,,yes
GCA_906464875.1,No,16,6,26,United Kingdom,Europe,2017,clinical,"cfr(D), optrA",,,,yes,yes,
GCA_002973735.1,No,480,3,15,France,Europe,2016,clinical,optrA,,,,,yes,
GCA_002973775.1,No,480,1,2,France,Europe,2016,clinical,optrA,,,,,yes,
GCA_002973815.1,No,480,2,7,France,Europe,2016,clinical,optrA,,,,,yes,
GCA_003962325.1,No,16,3,14,China,Asia,2015,clinical,optrA,,,,,yes,
GCA_003962375.1,No,585,3,14,China,Asia,2015,clinical,optrA,,,,,yes,
GCA_003962635.1,No,16,3,14,China,Asia,2015,clinical,optrA,,,,,yes,
GCA_003962645.1,No,476,2,7,China,Asia,2015,clinical,optrA,,,,,yes,
GCA_003962685.1,No,585,8,38,China,Asia,2015,clinical,optrA,,,,,yes,
GCA_004103105.1,No,476,2,7,China,Asia,2015,clinical,optrA,,,,,yes,
GCA_005979285.1,No,691,6,26,China,Asia,2017,clinical,optrA,,,,,yes,
GCA_005979305.1,No,74,8,38,China,Asia,2017,clinical,optrA,,,,,yes,
GCA_013312295.1,No,593,6,26,Canada,North America,2015,clinical,optrA,,,,,yes,
GCA_013523155.1,No,21,6,26,Colombia,South America,2017,clinical,optrA,,,,,yes,
GCA_014325425.1,No,480,1,1,Lebanon,Asia,2017,clinical,optrA,,,,,yes,
GCA_014325545.1,No,480,2,9,Lebanon,Asia,2017,clinical,optrA,,,,,yes,
GCA_015292605.1,No,585,1,3,Spain,Europe,2016,clinical,optrA,,,,,yes,
GCA_015292765.1,No,585,7,32,Spain,Europe,2016,clinical,optrA,,,,,yes,
GCA_015293145.1,No,,8,39,Spain,Europe,2016,clinical,optrA,,,,,yes,
GCA_015294225.1,No,474,7,31,Spain,Europe,2016,clinical,optrA,,,,,yes,
GCA_016847365.1,No,480,1,3,Belgium,Europe,2019,clinical,optrA,,,,,yes,
GCA_016847525.1,No,480,6,26,Belgium,Europe,2019,clinical,optrA,,,,,yes,
GCA_016847585.1,No,480,2,7,Belgium,Europe,2019,clinical,optrA,,,,,yes,
GCA_019731615.1,No,116,1,3,China,Asia,2020,clinical,optrA,,,,,yes,
GCA_020405635.1,No,476,1,4,Russia,Asia,2020,clinical,optrA,,,,,yes,
GCA_022427325.1,No,403,3,14,China,Asia,2017,clinical,"optrA, poxtA",,,,,yes,yes
GCA_022427745.1,No,480,7,33,China,Asia,2017,clinical,optrA,,,,,yes,
GCA_022427855.1,No,480,9,42,China,Asia,2017,clinical,optrA,,,,,yes,
GCA_022758225.1,No,16,7,34,China,Asia,2020,clinical,optrA,,,,,yes,
GCA_024339425.1,No,480,2,7,Spain,Europe,2018,clinical,optrA,,,,,yes,
GCA_024339435.1,No,7,7,34,Spain,Europe,2018,clinical,optrA,,,,,yes,
GCA_024339445.1,No,585,6,26,Spain,Europe,2018,clinical,optrA,,,,,yes,
GCA_024927865.1,No,,1,1,Bangladesh,Asia,2018,clinical,optrA,,,,,yes,
GCA_025482075.1,No,476,6,26,France,Europe,2019,clinical,optrA,,,,,yes,
GCA_025482095.1,No,59,3,14,France,Europe,2019,clinical,optrA,,,,,yes,
GCA_025482175.1,No,476,1,1,France,Europe,2019,clinical,optrA,,,,,yes,
GCA_025482215.1,No,480,6,27,France,Europe,2019,clinical,optrA,,,,,yes,
GCA_025482255.1,No,19,2,9,France,Europe,2019,clinical,optrA,,,,,yes,
GCA_025482405.1,No,41,1,1,France,Europe,2019,clinical,optrA,,,,,yes,
GCA_025482435.1,No,480,2,7,France,Europe,2019,clinical,optrA,,,,,yes,
GCA_025482455.1,No,480,2,7,France,Europe,2019,clinical,optrA,,,,,yes,
GCA_025482555.1,No,585,7,31,France,Europe,2019,clinical,optrA,,,,,yes,
GCA_025482575.1,No,480,1,1,France,Europe,2019,clinical,optrA,,,,,yes,
GCA_025482595.1,No,476,7,35,France,Europe,2019,clinical,optrA,,,,,yes,
GCA_025482635.1,No,376,1,3,France,Europe,2019,clinical,optrA,,,,,yes,
GCA_025482655.1,No,19,1,3,France,Europe,2019,clinical,optrA,,,,,yes,
GCA_025482675.1,No,,2,9,France,Europe,2019,clinical,optrA,,,,,yes,
GCA_025482695.1,No,444,6,26,France,Europe,2019,clinical,optrA,,,,,yes,
GCA_025482785.1,No,,6,26,France,Europe,2018,clinical,optrA,,,,,yes,
GCA_025972265.1,No,256,1,2,Australia,Oceania,2016,clinical,optrA,,,,,yes,
GCA_029866805.1,No,16,3,14,China,Asia,2020,clinical,optrA,,,,,yes,
GCA_030339965.1,No,476,3,14,South Korea,Asia,2019,clinical,optrA,,,,,yes,
GCA_030339995.1,No,689,1,5,South Korea,Asia,2019,clinical,optrA,,,,,yes,
GCA_030340065.1,No,,2,7,South Korea,Asia,2019,clinical,optrA,,,,,yes,
GCA_030340205.1,No,689,8,38,South Korea,Asia,2019,clinical,optrA,,,,,yes,
GCA_030340245.1,No,585,8,38,South Korea,Asia,2019,clinical,optrA,,,,,yes,
GCA_030340285.1,No,,1,4,South Korea,Asia,2019,clinical,optrA,,,,,yes,
GCA_030340305.1,No,689,7,34,South Korea,Asia,2019,clinical,optrA,,,,,yes,
GCA_030340325.1,No,476,8,40,South Korea,Asia,2019,clinical,optrA,,,,,yes,
GCA_030340345.1,No,,8,40,South Korea,Asia,2019,clinical,optrA,,,,,yes,
GCA_030340385.1,No,585,8,40,South Korea,Asia,2019,clinical,optrA,,,,,yes,
GCA_030340445.1,No,689,1,5,South Korea,Asia,2019,clinical,optrA,,,,,yes,
GCA_030340485.1,No,179,7,34,South Korea,Asia,2020,clinical,optrA,,,,,yes,
GCA_030340565.1,No,,2,7,South Korea,Asia,2020,clinical,optrA,,,,,yes,
GCA_030340585.1,No,585,5,24,South Korea,Asia,2020,clinical,optrA,,,,,yes,
GCA_030340605.1,No,179,7,32,South Korea,Asia,2020,clinical,optrA,,,,,yes,
GCA_902161825.1,No,21,7,31,United Kingdom,Europe,2018,clinical,optrA,,,,,yes,
GCA_906464835.1,No,585,1,5,United Kingdom,Europe,2017,clinical,optrA,,,,,yes,
GCA_906464865.1,No,330,2,6,United Kingdom,Europe,2016,clinical,optrA,,,,,yes,
GCA_906464915.2,No,19,2,9,United Kingdom,Europe,2015,clinical,optrA,,,,,yes,
GCA_906464925.1,No,894,1,5,United Kingdom,Europe,2017,clinical,optrA,,,,,yes,
GCA_018517125.1,No,,2,9,France,Europe,2018,clinical,poxtA,,,,,,yes
GCA_025482195.1,No,480,4,20,France,Europe,2019,clinical,poxtA,,,,,,yes
GCA_025482285.1,No,,1,3,France,Europe,2019,clinical,poxtA,,,,,,yes
GCA_000394335.1,No,9,3,14,USA,North America,1986,human,cfr(B),-,,yes,,,
GCA_000394915.1,No,9,3,14,USA,North America,1987,human,cfr(B),-,,yes,,,
GCA_001878735.4,No,29,3,14,Brazil,South America,2013,animal,"cfr, optrA",-,yes,,,yes,
GCA_005158025.1,No,4,8,38,China,Asia,2017,animal,cfr,-,yes,,,,
GCA_015234285.1,No,16,9,43,Switzerland,Europe,2019,environment,"cfr(D), optrA",-,,,yes,yes,
GCA_019352795.1,No,-,2,7,Portugal,Europe,2020,others,"cfr(D), optrA",-,,,yes,yes,
GCA_019352805.1,No,40,7,31,Portugal,Europe,2018,others,"cfr(D), optrA",-,,,yes,yes,
GCA_020180825.1,No,32,2,6,Italy,Europe,2019,animal,cfr(D),-,,,yes,,
GCA_020180875.1,No,32,7,33,Italy,Europe,2019,animal,cfr(D),-,,,yes,,
GCA_020180935.1,No,32,1,1,Italy,Europe,2019,animal,cfr(D),-,,,yes,,
GCA_020616875.1,No,-,7,31,South Korea,Asia,2018,animal,cfr(D),-,,,yes,,
GCA_020616935.1,No,27,7,33,South Korea,Asia,2019,animal,"cfr(D), optrA",-,,,yes,yes,
GCA_021122865.1,No,409,2,6,Belgium,Europe,2019,,"cfr(D), optrA",-,,,yes,yes,
GCA_021123115.1,No,241,2,6,Belgium,Europe,2019,,"cfr(D), optrA",-,,,yes,yes,
GCA_021124235.1,No,-,1,3,Belgium,Europe,2019,,"cfr, optrA",-,yes,,,yes,
GCA_021390315.1,No,8,2,6,China,Asia,2021,,"cfr(D), optrA",-,,,yes,yes,
GCA_023299225.1,No,593,3,16,,,2021,others,"cfr(D), optrA",-,,,yes,yes,
GCA_023299485.1,No,-,2,7,,,2022,others,"cfr, optrA",-,yes,,,yes,
GCA_023299505.1,No,16,8,38,,,2022,others,"cfr(D), optrA",-,,,yes,yes,
GCA_023299625.1,No,86,6,26,,,2022,others,cfr(D),-,,,yes,,
GCA_023300165.1,No,207,5,24,,,2021,others,"cfr, optrA",-,yes,,,yes,
GCA_023375265.1,No,19,1,3,,,2022,animal,cfr(D),-,,,yes,,
GCA_023650735.1,No,256,2,7,China,Asia,2021,animal,"cfr, cfr(D), optrA",-,yes,,yes,yes,
GCA_023702145.1,No,256,1,2,China,Asia,2021,animal,"cfr(D), optrA",-,,,yes,yes,
GCA_024579755.1,No,476,1,4,South Korea,Asia,2020,animal,"cfr(D), optrA",-,,,yes,yes,
GCA_024579795.1,No,100,10,45,South Korea,Asia,2020,animal,"cfr(D), optrA",-,,,yes,yes,
GCA_026201915.1,No,256,1,1,China,Asia,2021,animal,"cfr(D), optrA",-,,,yes,yes,
GCA_026201965.1,No,256,2,8,China,Asia,2021,animal,"cfr(D), optrA",-,,,yes,yes,
GCA_026202015.1,No,-,10,45,China,Asia,2021,animal,"cfr(D), optrA",-,,,yes,yes,
GCA_026202035.1,No,256,10,45,China,Asia,2021,animal,"cfr(D), optrA",-,,,yes,yes,
GCA_026202075.1,No,256,6,27,China,Asia,2021,animal,"cfr(D), optrA",-,,,yes,yes,
GCA_026202155.1,No,256,1,3,China,Asia,2021,animal,"cfr(D), optrA",-,,,yes,yes,
GCA_026202175.1,No,256,1,3,China,Asia,2021,animal,"cfr(D), optrA",-,,,yes,yes,
GCA_026202275.1,No,256,1,2,China,Asia,2021,animal,"cfr(D), optrA",-,,,yes,yes,
GCA_026203115.1,No,256,3,14,China,Asia,2021,animal,"cfr(D), optrA",-,,,yes,yes,
GCA_026203165.1,No,-,7,34,China,Asia,2021,animal,"cfr(D), optrA",-,,,yes,yes,
GCA_026203185.1,No,256,2,9,China,Asia,2021,animal,"cfr(D), optrA",-,,,yes,yes,
GCA_028532705.1,No,-,2,7,China,Asia,2021,animal,"cfr, cfr(D), optrA",-,yes,,yes,yes,
GCA_028621735.1,No,21,1,1,China,Asia,2021,animal,"cfr, optrA",-,yes,,,yes,
GCA_028621755.1,No,256,6,26,China,Asia,2021,animal,"cfr(D), optrA",-,,,yes,yes,
GCA_028621775.1,No,239,8,40,China,Asia,2021,animal,"cfr, optrA",-,yes,,,yes,
GCA_001806515.1,No,754,8,40,Malaysia,Asia,2012,-,optrA,,,,,yes,
GCA_002009465.1,No,755,8,40,Malaysia,Asia,2021,animal,optrA,,,,,yes,
GCA_002009545.1,No,476,6,26,Malaysia,Asia,2021,animal,optrA,,,,,yes,
GCA_002009565.1,No,756,8,38,Malaysia,Asia,2021,animal,optrA,,,,,yes,
GCA_002220885.1,No,86,8,39,Tunisia,Africa,2014,environment,optrA,,,,,yes,
GCA_002250145.1,No,16,1,3,Colombia,South America,2015,animal,optrA,,,,,yes,
GCA_004168065.1,No,476,9,42,Tunisia,Africa,2017,animal,optrA,,,,,yes,
GCA_004168075.1,No,859,4,20,Tunisia,Africa,2017,animal,optrA,,,,,yes,
GCA_004168115.1,No,21,3,14,Tunisia,Africa,2017,animal,optrA,,,,,yes,
GCA_004332015.1,No,141,2,7,USA,North America,2013,animal,optrA,,,,,yes,
GCA_004332035.1,No,489,5,24,USA,North America,2014,animal,optrA,,,,,yes,
GCA_006335085.1,No,476,2,7,Tunisia,Africa,2017,animal,optrA,,,,,yes,
GCA_009498155.3,No,591,6,28,Brazil,South America,2013,animal,optrA,,,,,yes,
GCA_009498175.3,No,710,6,28,Colombia,South America,2013,animal,optrA,,,,,yes,
GCA_009830485.1,No,230,4,20,China,Asia,2016,animal,optrA,,,,,yes,
GCA_009830505.1,No,480,2,9,China,Asia,2016,animal,optrA,,,,,yes,
GCA_009830525.1,No,910,4,20,China,Asia,2016,environment,optrA,,,,,yes,
GCA_009830535.1,No,632,3,14,China,Asia,2016,environment,optrA,,,,,yes,
GCA_009830565.1,No,474,3,14,China,Asia,2016,environment,optrA,,,,,yes,
GCA_009830585.1,No,16,1,2,China,Asia,2016,environment,optrA,,,,,yes,
GCA_009830615.1,No,474,2,9,China,Asia,2016,environment,optrA,,,,,yes,
GCA_009830635.1,No,476,3,14,China,Asia,2016,environment,optrA,,,,,yes,
GCA_009830655.1,No,-,4,20,China,Asia,2016,environment,optrA,,,,,yes,
GCA_009830675.1,No,476,4,20,China,Asia,2016,animal,optrA,,,,,yes,
GCA_009830695.1,No,480,2,9,China,Asia,2016,animal,optrA,,,,,yes,
GCA_009830715.1,No,170,5,24,China,Asia,2016,animal,optrA,,,,,yes,
GCA_009830735.1,No,116,3,14,China,Asia,2016,animal,optrA,,,,,yes,
GCA_009830765.1,No,773,1,2,China,Asia,2016,animal,optrA,,,,,yes,
GCA_009830775.1,No,256,5,24,China,Asia,2016,animal,optrA,,,,,yes,
GCA_009830815.1,No,16,7,35,China,Asia,2016,animal,optrA,,,,,yes,
GCA_009830835.1,No,16,7,35,China,Asia,2016,animal,optrA,,,,,yes,
GCA_009830855.1,No,59,3,14,China,Asia,2016,animal,optrA,,,,,yes,
GCA_009830875.1,No,256,2,10,China,Asia,2016,animal,optrA,,,,,yes,
GCA_009914685.3,No,330,10,46,China,Asia,2016,animal,optrA,,,,,yes,
GCA_011193375.1,No,916,2,9,China,Asia,2016,animal,optrA,,,,,yes,
GCA_014212115.1,No,476,3,16,South Korea,Asia,2016,animal,optrA,,,,,yes,
GCA_014212215.1,No,-,2,8,South Korea,Asia,2016,animal,optrA,,,,,yes,
GCA_014212225.1,No,729,1,3,South Korea,Asia,2016,animal,optrA,,,,,yes,
GCA_014854875.1,No,207,2,8,China,Asia,2016,environment,optrA,,,,,yes,
GCA_015292825.1,No,-,1,5,USA,North America,2020,-,optrA,,,,,yes,
GCA_015293385.1,No,32,7,31,China,Asia,2017,environment,optrA,,,,,yes,
GCA_015293405.1,No,32,3,14,China,Asia,2017,environment,optrA,,,,,yes,
GCA_015293445.1,No,-,1,3,China,Asia,2017,environment,optrA,,,,,yes,
GCA_015294025.1,No,-,1,3,China,Asia,2017,environment,optrA,,,,,yes,
GCA_015300025.1,No,16,4,20,USA,North America,2019,animal,optrA,,,,,yes,
GCA_015300605.1,No,506,5,24,USA,North America,2019,animal,optrA,,,,,yes,
GCA_015315065.1,No,-,1,3,Colombia,South America,2011,animal,optrA,,,,,yes,
GCA_015315105.1,No,-,4,20,Colombia,South America,2011,animal,optrA,,,,,yes,
GCA_015315485.1,No,-,1,3,USA,North America,2020,-,optrA,,,,,yes,
GCA_015690905.1,No,19,7,33,USA,North America,2020,animal,optrA,,,,,yes,
GCA_015919065.1,No,-,7,35,USA,North America,2020,animal,optrA,,,,,yes,
GCA_015920145.1,No,207,1,3,USA,North America,2020,animal,optrA,,,,,yes,
GCA_015958805.1,No,22,6,28,Denmark,Europe,2017,animal,optrA,,,,,yes,
GCA_016636325.1,No,631,2,7,USA,North America,2020,animal,optrA,,,,,yes,
GCA_016917995.1,No,585,2,9,Italy,Europe,2018,environment,optrA,,,,,yes,
GCA_016993575.1,No,-,1,4,USA,North America,2020,animal,optrA,,,,,yes,
GCA_017286715.1,No,-,4,20,USA,North America,2019,animal,optrA,,,,,yes,
GCA_018087365.1,No,-,3,14,Colombia,South America,2016,animal,optrA,,,,,yes,
GCA_018222085.1,No,-,1,3,USA,North America,2021,animal,optrA,,,,,yes,
GCA_018253765.1,No,-,1,3,China,Asia,2017,environment,optrA,,,,,yes,
GCA_018253815.1,No,256,4,20,China,Asia,2017,environment,optrA,,,,,yes,
GCA_018253835.1,No,618,3,14,China,Asia,2017,environment,optrA,,,,,yes,
GCA_018253895.1,No,-,3,14,China,asia,2017,environment,optrA,,,,,yes,
GCA_019164975.1,No,53,3,14,Pakistan,Asia,2019,others,optrA,,,,,yes,
GCA_019195415.1,No,16,6,26,China,Asia,2019,animal,optrA,,,,,yes,
GCA_019201565.1,No,585,5,24,Switzerland,Europe,2020,environment,optrA,,,,,yes,
GCA_019201575.1,No,476,6,28,Switzerland,Europe,2020,environment,optrA,,,,,yes,
GCA_019201635.1,No,506,8,41,Switzerland,Europe,2020,environment,optrA,,,,,yes,
GCA_019222705.1,No,-,2,7,China,Asia,2019,environment,optrA,,,,,yes,
GCA_019340345.1,No,-,10,45,USA,North America,2020,others,optrA,,,,,yes,
GCA_019352735.1,No,674,2,8,Portugal,Europe,2019,others,optrA,,,,,yes,
GCA_019352775.1,No,-,2,9,Portugal,Europe,2020,others,"optrA, poxtA",,,,,yes,yes
GCA_019352835.1,No,-,4,20,Portugal,Europe,2019,others,"optrA, poxtA",,,,,yes,yes
GCA_019352855.1,No,-,1,3,Portugal,Europe,2019,others,"optrA, poxtA",,,,,yes,yes
GCA_019774535.1,No,8,1,3,China,Asia,2018,animal,"optrA, poxtA",,,,,yes,yes
GCA_019856595.1,No,692,2,8,China,Asia,2018,animal,"optrA, poxtA",,,,,yes,yes
GCA_019917325.1,No,86,2,8,China,Asia,2016,animal,optrA,,,,,yes,
GCA_019917335.1,No,480,7,31,China,Asia,2016,animal,optrA,,,,,yes,
GCA_019917365.1,No,474,1,3,China,Asia,2016,animal,optrA,,,,,yes,
