ID,MDU,ST,CC,clade,BAPS_clade,BAPS_level1,BAPS_level2,country,continent,year,sample_type,lzd_genotype,van_operon,cfr,cfrB,cfrD,optrA,poxtA
AUSMDU00004212,Yes,117,17,,1,1,1,Australia,Oceania,2015,clinical/human,cfr(D),vanB,,,yes,,
AUSMDU00011337,Yes,1421,17,,1,1,1,Australia,Oceania,2017,clinical/human,cfr(B),vanA,,yes,,,
AUSMDU00015839,Yes,1421,17,,1,1,1,Australia,Oceania,2018,clinical/human,cfr(B),vanA,,yes,,,
AUSMDU00017285,Yes,1045,,,2,2,6,Australia,Oceania,2017,clinical/human,"optrA, poxtA2",,,,,yes,yes
AUSMDU00046081,Yes,2405,17,,1,3,10,Australia,Oceania,2020,clinical/human,cfr(B),vanB,,yes,,,
AUSMDU00056207,Yes,80,17,,1,3,11,Australia,Oceania,2021,clinical/human,optrA,vanA,,,,yes,
AUSMDU00067942,Yes,80,17,,1,3,12,Australia,Oceania,2022,clinical/human,"cfr(D), poxtA",vanA,,,yes,,yes
AUSMDU00072253,Yes,80,17,,1,3,13,Australia,Oceania,2022,clinical/human,"cfr, optrA",vanA,yes,,,yes,
AUSMDU00074711,Yes,80,17,,1,3,12,Australia,Oceania,2022,clinical/human,"cfr(D), poxtA",vanA,,,yes,,yes
AUSMDU00084267,Yes,117,17,,1,3,11,Australia,Oceania,2023,clinical/human,"cfr(D), poxtA",vanA,,,yes,,yes
GCA_002973675.1,No,650,,,1,1,1,France,Europe,2016,clinical/human,optrA,,,,,yes,
GCA_002973715.1,No,80,17,A1,1,1,3,France,Europe,2015,clinical/human,optrA,vanA,,,,yes,
GCA_002973755.2,No,17,17,A1,1,4,20,France,Europe,2015,clinical/human,"cfr(D), optrA",vanA,,,yes,yes,
GCA_004103165.1,No,195,,,1,5,25,China,Asia,2017,clinical/human,optrA,,,,,yes,
GCA_004332055.1,No,32,17,,1,1,3,USA,North America,2016,animal,"cfr, optrA",,yes,,,yes,
GCA_005517315.1,No,80,17,A1,1,1,2,India,Asia,2019,clinical/human,optrA,vanA,,,,yes,
GCA_005576735.1,No,17,17,A1,1,5,26,India,Asia,2019,clinical/human,optrA,,,,,yes,
GCA_007923785.2,No,1126,,,1,8,34,China,Asia,2017,animal,poxtA,-,,,,,yes
GCA_007923865.2,No,-,,,1,3,13,China,Asia,2017,animal,poxtA,-,,,,,yes
GCA_007923885.2,No,156,,,2,3,15,China,Asia,2017,animal,poxtA,-,,,,,yes
GCA_007923905.2,No,97,,,1,3,13,China,Asia,2017,animal,poxtA,-,,,,,yes
GCA_007923925.2,No,1660,,,1,1,1,China,Asia,2017,animal,poxtA,-,,,,,yes
GCA_007923945.2,No,22,17,,1,1,1,China,Asia,2017,animal,poxtA,-,,,,,yes
GCA_007923965.2,No,22,17,,1,1,1,China,Asia,2017,animal,poxtA,-,,,,,yes
GCA_009707525.1,No,1058,17,,1,5,26,Portugal,Europe,2015,clinical/human,poxtA,,,,,,yes
GCA_009707535.1,No,1058,,,1,1,1,Tunisia,Europe,2015,animal,poxtA,-,,,,,yes
GCA_012932975.2,No,80,17,A1,1,3,11,India,Asia,2018,clinical/human,"cfr(D), optrA",vanA,,,yes,yes,
GCA_012932985.2,No,80,17,A1,1,3,14,India,Asia,2017,clinical/human,"cfr(D), optrA",vanA,,,yes,yes,
GCA_012933185.1,No,80,17,A1,1,5,24,India,Asia,2019,clinical/human,"cfr(D), optrA",vanA,,,yes,yes,
GCA_013326855.1,No,-,,,1,1,1,Canada,North America,2014,animal,poxtA,-,,,,,yes
GCA_013326905.1,No,1532,,,1,2,6,Canada,North America,2019,animal,optrA,-,,,,yes,
GCA_014489995.1,No,203,17,A1,1,1,2,Germany,Europe,2016,clinical/human,cfr(B),,,yes,,,
GCA_014490015.1,No,203,17,A1,1,3,14,Germany,Europe,2016,clinical/human,cfr(B),vanA,,yes,,,
GCA_015361995.1,No,80,17,A1,1,3,10,Germany,Europe,2016,clinical/human,"cfr(D), optrA",,,,yes,yes,
GCA_015362245.1,No,80,17,A1,1,4,21,Germany,Europe,2016,clinical/human,"cfr(D), optrA",,,,yes,yes,
GCA_015402705.1,No,80,17,A1,1,4,20,USA,North America,2015,clinical/human,cfr(B),vanA,,yes,,,
GCA_015409415.1,No,117,17,A1,1,2,6,Australia,Oceania,2015,clinical/human,cfr(D),vanB,,,yes,,
GCA_015457725.1,No,17,17,A1,1,4,21,Denmark,Europe,2015,clinical/human,cfr,vanA,yes,,,,
GCA_015642685.1,No,22,17,,1,7,31,Denmark,Europe,2019,animal,"optrA, poxtA",-,,,,yes,yes
GCA_016743855.1,No,868,,,1,1,2,China,Asia,2020,environment,optrA,-,,,,yes,
GCA_017101495.1,No,1421,17,,1,4,20,Australia,Oceania,2018,clinical/human,cfr(B),vanA,,yes,,,
GCA_017664195.1,No,1421,17,,1,1,2,Australia,Oceania,2017,clinical/human,cfr(B),vanA,,yes,,,
GCA_017815695.1,No,80,17,A1,1,1,2,India,Asia,2019,clinical/human,"cfr(D), optrA",vanA,,,yes,yes,
GCA_018279145.1,No,32,17,,1,7,32,China,Asia,2019,animal,poxtA,-,,,,,yes
GCA_018516845.1,No,1676,17,,1,1,2,France,Europe,2018,clinical/human,poxtA,,,,,,yes
GCA_018516925.1,No,80,17,,1,1,2,France,Europe,2018,clinical/human,poxtA,vanA,,,,,yes
GCA_018517045.1,No,168,17,A1,1,5,24,France,Europe,2017,clinical/human,poxtA,,,,,,yes
GCA_018517065.1,No,324,17,,1,5,25,France,Europe,2017,clinical/human,"optrA, poxtA",,,,,yes,yes
GCA_018517085.1,No,650,,,1,1,1,France,Europe,2016,clinical/human,"optrA, poxtA",,,,,yes,yes
GCA_018517105.1,No,323,17,A1,1,5,26,France,Europe,2016,clinical/human,poxtA,vanB,,,,,yes
GCA_018517185.1,No,1586,,,1,5,25,France,Europe,2018,clinical/human,poxtA,,,,,,yes
GCA_019175425.1,No,957,,,1,7,32,Switzerland,Europe,2019,animal,"optrA, poxtA",-,,,,yes,yes
GCA_019175445.1,No,-,,,1,2,6,Switzerland,Europe,2019,animal,optrA,-,,,,yes,
GCA_019175465.1,No,22,17,,1,7,32,Switzerland,Europe,2020,environment,poxtA,-,,,,,yes
GCA_019175525.1,No,25,17,,1,1,2,Switzerland,Europe,2019,animal,"optrA, poxtA",-,,,,yes,yes
GCA_019352635.1,No,25,17,,1,2,7,Portugal,Europe,2019,,poxtA,-,,,,,yes
GCA_019352685.1,No,1263,17,,1,7,32,Portugal,Europe,2019,,poxtA,-,,,,,yes
GCA_019356355.1,No,-,,,1,1,1,China,Asia,2018,clinical/human,"optrA, poxtA",,,,,yes,yes
GCA_019731315.1,No,1577,,,1,4,23,China,Asia,2020,clinical/human,"optrA, poxtA",,,,,yes,yes
GCA_019992725.1,No,-,,,2,4,21,China,Asia,2018,animal,poxtA,-,,,,,yes
GCA_019992745.1,No,-,,,1,2,6,China,Asia,2019,animal,optrA,-,,,,yes,
GCA_019992765.1,No,-,,,2,3,15,China,Asia,2018,animal,poxtA,-,,,,,yes
GCA_019992785.1,No,156,,,2,2,7,China,Asia,2020,animal,"optrA, poxtA",-,,,,yes,yes
GCA_019992805.1,No,156,,,2,2,8,China,Asia,2021,animal,optrA,-,,,,yes,
GCA_019992825.1,No,156,,,2,1,1,China,Asia,2018,animal,poxtA,-,,,,,yes
GCA_019992835.1,No,156,,,2,7,32,China,Asia,2017,animal,"optrA, poxtA",-,,,,yes,yes
GCA_019992865.1,No,156,,,2,5,24,China,Asia,2018,animal,poxtA,-,,,,,yes
GCA_020163015.1,No,896,,,1,1,2,Brazil,South America,2016,clinical/human,cfr(B),vanA,,yes,,,
GCA_020927235.1,No,18,17,A1,1,1,2,USA,North America,2016,clinical/human,cfr(B),vanA,,yes,,,
GCA_021121175.1,No,22,17,,1,5,26,Belgium,Europe,2019,,"optrA, poxtA",-,,,,yes,yes
GCA_021121205.1,No,8,,,1,4,21,Belgium,Europe,2019,,optrA,-,,,,yes,
GCA_021121275.1,No,22,17,,1,2,9,Belgium,Europe,2019,,"optrA, poxtA",-,,,,yes,yes
GCA_021121395.1,No,22,17,,1,1,4,Belgium,Europe,2019,,"optrA, poxtA",-,,,,yes,yes
GCA_021121485.1,No,26,17,,1,3,14,Belgium,Europe,2019,,"optrA, poxtA",-,,,,yes,yes
GCA_021121615.1,No,8,,,1,1,1,Belgium,Europe,2019,,poxtA,-,,,,,yes
GCA_021121685.1,No,-,,,1,1,1,Belgium,Europe,2019,,poxtA,-,,,,,yes
