ID,MDU,ST,CC,clade,country,continent,year,sample_type,lzd_genotype,van_operon,cfr,cfrB,cfrD,optrA,poxtA
GCA_004332055.1,No,32,17,,USA,North America,2016,nonclinical,"cfr, optrA",,yes,,,yes,
GCA_015642685.1,No,22,17,,Denmark,Europe,2019,nonclinical,"optrA, poxtA",-,,,,yes,yes
GCA_019175425.1,No,957,,,Switzerland,Europe,2019,nonclinical,"optrA, poxtA",-,,,,yes,yes
GCA_019175445.1,No,-,,,Switzerland,Europe,2019,nonclinical,optrA,-,,,,yes,
GCA_019175525.1,No,25,17,,Switzerland,Europe,2019,nonclinical,"optrA, poxtA",-,,,,yes,yes
GCA_019992835.1,No,156,,,China,Asia,2017,nonclinical,"optrA, poxtA",-,,,,yes,yes
GCA_021122265.1,No,56,17,,Belgium,Europe,2019,nonclinical,"optrA, poxtA",-,,,,yes,yes
GCA_021122645.1,No,-,,,Belgium,Europe,2018,nonclinical,"optrA, poxtA",-,,,,yes,yes
GCA_021123005.1,No,-,,,Belgium,Europe,2018,nonclinical,"optrA, poxtA",-,,,,yes,yes
GCA_021123525.1,No,137,,,Belgium,Europe,2019,nonclinical,"optrA, poxtA",-,,,,yes,yes
GCA_021124145.1,No,1146,,,Belgium,Europe,2020,nonclinical,optrA,-,,,,yes,
GCA_023182815.2,No,22,17,,China,Asia,2021,nonclinical,"optrA, poxtA",-,,,,yes,yes
GCA_023182835.2,No,56,17,,China,Asia,2019,nonclinical,optrA,-,,,,yes,
GCA_025515395.1,No,124,,,South Korea,Asia,2019,nonclinical,optrA,-,,,,yes,
GCA_025753055.1,No,636,,,China,Asia,2021,nonclinical,"optrA, poxtA",-,,,,yes,yes
GCA_025753175.1,No,324,17,,China,Asia,2014,nonclinical,"optrA, poxtA",-,,,,yes,yes
GCA_025753655.1,No,1630,,,China,Asia,2018,nonclinical,"optrA, poxtA",-,,,,yes,yes
GCA_026202455.1,No,323,17,,China,Asia,2019,nonclinical,"optrA, poxtA",-,,,,yes,yes
GCA_026203285.1,No,-,,,China,Asia,2020,nonclinical,"optrA, poxtA",-,,,,yes,yes
GCA_026203655.1,No,-,,,China,Asia,2020,nonclinical,"optrA, poxtA",-,,,,yes,yes
GCA_026204135.1,No,-,,,China,Asia,2021,nonclinical,optrA,-,,,,yes,
GCA_028891525.1,No,-,,,China,Asia,2021,nonclinical,optrA,-,,,,yes,
GCA_030064735.1,No,-,,,China,Asia,2021,nonclinical,optrA,-,,,,yes,
GCA_030179115.1,No,-,,,China,Asia,2021,nonclinical,optrA,-,,,,yes,
GCA_030179135.1,No,-,,,China,Asia,2021,nonclinical,optrA,-,,,,yes,
GCA_030179235.1,No,-,,,China,Asia,2021,nonclinical,optrA,-,,,,yes,
