ID,year,country,continent,sample_type,lzd_genotype,van_operon,cfr,cfrB,cfrD,optrA,poxtA
GCA_001878735.4,2013,Brazil,South America,nonclinical,"cfr, optrA",-,yes,,,yes,
GCA_020180825.1,2018,Italy,Europe,nonclinical,cfr(D),-,,,yes,,
GCA_020180875.1,2019,Italy,Europe,nonclinical,cfr(D),-,,,yes,,
GCA_020180935.1,2019,Italy,Europe,nonclinical,cfr(D),-,,,yes,,
GCA_020616875.1,2020,South Korea,Asia,nonclinical,cfr(D),-,,,yes,,
GCA_020616935.1,2019,South Korea,Asia,nonclinical,"cfr(D), optrA",-,,,yes,yes,
GCA_023375265.1,2022,,,nonclinical,cfr(D),-,,,yes,,
GCA_023650735.1,2021,China,Asia,nonclinical,"cfr, cfr(D), optrA",-,yes,,yes,yes,
GCA_023702145.1,2021,China,Asia,nonclinical,"cfr(D), optrA",-,,,yes,yes,
GCA_024579755.1,2020,China,Asia,nonclinical,"cfr(D), optrA",-,,,yes,yes,
GCA_024579795.1,2020,China,Asia,nonclinical,"cfr(D), optrA",-,,,yes,yes,
GCA_026201915.1,2021,China,Asia,nonclinical,"cfr(D), optrA",-,,,yes,yes,
GCA_026201965.1,2021,China,Asia,nonclinical,"cfr(D), optrA",-,,,yes,yes,
GCA_026202015.1,2021,China,Asia,nonclinical,"cfr(D), optrA",-,,,yes,yes,
GCA_026202035.1,2021,China,Asia,nonclinical,"cfr(D), optrA",-,,,yes,yes,
GCA_026202075.1,2021,China,Asia,nonclinical,"cfr(D), optrA",-,,,yes,yes,
GCA_026202155.1,2021,China,Asia,nonclinical,"cfr(D), optrA",-,,,yes,yes,
GCA_026202175.1,2021,China,Asia,nonclinical,"cfr(D), optrA",-,,,yes,yes,
GCA_026202275.1,2021,China,Asia,nonclinical,"cfr(D), optrA",-,,,yes,yes,
GCA_026203115.1,2021,China,Asia,nonclinical,"cfr(D), optrA",-,,,yes,yes,
GCA_026203165.1,2021,China,Asia,nonclinical,"cfr(D), optrA",-,,,yes,yes,
GCA_026203185.1,2021,China,Asia,nonclinical,"cfr(D), optrA",-,,,yes,yes,
GCA_028532705.1,2021,China,Asia,nonclinical,"cfr, cfr(D), optrA",-,yes,,yes,yes,
GCA_028621735.1,2021,China,Asia,nonclinical,"cfr, optrA",-,yes,,,yes,
GCA_028621755.1,2021,China,Asia,nonclinical,"cfr(D), optrA",-,,,yes,yes,
GCA_028621775.1,2021,China,Asia,nonclinical,"cfr, optrA",-,yes,,,yes,
GCA_001806515.1,2021,Japan,Asia,nonclinical,optrA,,,,,yes,
GCA_002009465.1,2021,Japan,Asia,nonclinical,optrA,,,,,yes,
GCA_002009545.1,2021,Japan,Asia,nonclinical,optrA,,,,,yes,
GCA_002009565.1,2021,Japan,Asia,nonclinical,optrA,,,,,yes,
GCA_002220885.1,2021,Japan,Asia,nonclinical,optrA,,,,,yes,
GCA_009830485.1,2012,Malaysia,Asia,nonclinical,optrA,,,,,yes,
