ID,cfr,cfrB,cfrD,optrA,poxtA,G2576T ,LZD-mic
AUSMDU00017278,No,No,No,Yes,No,No,
AUSMDU00017468,No,No,No,Yes,No,No,8
AUSMDU00024392,No,No,No,Yes,No,No,8
AUSMDU00030315,No,No,No,Yes,No,No,4
AUSMDU00037590,No,No,No,Yes,No,No,8
AUSMDU00041162,No,No,No,Yes,No,No,8
AUSMDU00041163,No,No,No,Yes,No,No,8
AUSMDU00041684,No,No,No,Yes,No,No,8
AUSMDU00049166,No,No,No,Yes,No,No,8
AUSMDU00058899,No,No,No,Yes,No,No,>8
AUSMDU00063884,No,No,No,Yes,No,No,8
AUSMDU00070652,No,No,No,Yes,No,No,8
AUSMDU00072393,No,No,No,Yes,No,No,4
AUSMDU00075660,No,No,No,Yes,No,No,4
AUSMDU00076580,No,No,No,Yes,No,No,4
